,,,,,,,,,,,,,,,,,,
,,SRS,,,Adjusted,,,,,,,,,,,,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
130,Davidson,A-10,,,16,16,69.9,68.7,1.22,,1.69,,0.08,2.13,2.21,103.07,100.04,3.03
131,Georgia,SEC,,,16,16,68.5,71.5,-3,,5.2,,0.46,1.73,2.2,100.11,97.15,2.95
132,South Florida,AAC,,,14,18,72,72,0,,2.16,,1.72,0.43,2.16,101.64,98.43,3.21
133,Georgia Tech,ACC,,,15,18,69.7,70.8,-1.03,,4.95,,-0.45,2.59,2.14,100.13,98.01,2.12
134,Portland,WCC,,,14,19,77.8,78.6,-0.85,,4.59,,6.49,-4.34,2.14,105.69,103.03,2.67
135,Notre Dame,ACC,,,11,21,69.6,72.1,-2.5,,4.61,,0.63,1.48,2.11,105.59,102.88,2.71
136,George Mason,A-10,,,20,13,68.7,67.3,1.45,,0.48,,-2.34,4.28,1.94,98.46,95.8,2.67
137,Vermont,AEC,,,23,10,73,66.6,6.42,,-3.69,,-0.64,2.39,1.74,103.77,100.7,3.07
138,UNC Greensboro,Southern,,,20,12,72.1,64.5,7.56,,-2.86,,-3.57,5.28,1.71,96.8,94.39,2.41
139,Youngstown State,Horizon,,,24,9,82.5,72.6,9.85,,-6.19,,6.7,-4.99,1.71,107.32,105.3,2.03
140,Southern Illinois,MVC,,,23,10,65.7,61.4,4.3,,-1.65,,-6.54,8.17,1.63,97.22,94.71,2.52
,,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
141,Troy,Sun Belt,,,20,13,73.2,66.8,6.36,,-1.01,,0.09,1.54,1.63,98.35,96.45,1.9
142,Richmond,A-10,,,15,18,68.9,67.8,1.09,,0.51,,-2.06,3.66,1.6,100.25,97.89,2.36
143,Ohio,MAC,,,19,14,78.8,73.1,5.73,,-2.29,,4.07,-2.61,1.46,105.26,103.34,1.92
144,Eastern Washington,Big Sky,,,22,10,77.1,71.4,5.69,,-2.15,,3.89,-2.62,1.27,104.78,103.06,1.73
145,Seattle,WAC,,,20,12,72,69,2.94,,0.92,,-0.74,1.89,1.15,96.85,95.33,1.52
146,UC Riverside,Big West,,,22,12,72.4,69.2,3.26,,0.09,,1.33,-0.18,1.15,101.07,99.8,1.27
147,Boston College,ACC,,,16,17,66.6,70.2,-3.64,,4.75,,-1.81,2.93,1.12,98.81,97.57,1.24
148,Stephen F. Austin,WAC,,,19,13,75.8,69.9,5.91,,-0.49,,2.77,-1.85,0.93,100.1,98.55,1.55
149,Missouri State,MVC,,,17,15,65.6,63.2,2.41,,-0.53,,-5.37,6.2,0.82,99.53,98.67,0.86
150,Pennsylvania,Ivy,,,17,13,75,72,2.97,,-1.27,,2.85,-2.16,0.69,103.16,101.92,1.24
151,Samford,Southern,,,21,11,78.7,71.6,7.16,,-4.2,,3.5,-2.83,0.66,103.18,102.32,0.85
152,Massachusetts-Lowell,AEC,,,26,8,78,66,12.06,,-8.62,,2.2,-1.67,0.54,101.57,100.94,0.63
153,Oregon State,Pac-12,,,11,21,61.2,67,-5.78,,7.01,,-6.26,6.75,0.49,96.77,97.32,-0.56
154,California Baptist,WAC,,,17,16,69.4,65.3,4.09,,-0.45,,-4.63,5.08,0.45,98.18,97.59,0.59
155,Pepperdine,WCC,,,9,22,78,81.3,-3.32,,5.22,,6.71,-6.32,0.39,101.06,100.41,0.66
156,Cornell,Ivy,,,17,11,81.7,76,5.64,,-2.67,,8.37,-8.01,0.37,105.84,105.91,-0.07
157,Southern Methodist,AAC,,,10,22,70.3,75.6,-5.31,,5.63,,2.1,-1.79,0.31,98.72,98.18,0.55
158,Kennesaw State,A-Sun,,,26,8,75.3,68.9,6.35,,-2.61,,1.19,-0.9,0.29,98.61,98.47,0.14
159,Towson,CAA,,,21,12,71.8,66.7,5.03,,-4.74,,-1.21,1.51,0.29,102.01,101.18,0.83
160,Utah Tech,WAC,,,14,19,75.6,73.3,2.27,,1.3,,2.86,-2.73,0.14,102.58,102.68,-0.1
,,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
161,UC Davis,Big West,,,18,14,74.8,71.1,3.69,,-1.32,,2.96,-2.84,0.12,98.97,98.84,0.13
162,Minnesota,Big Ten,,,9,22,62.9,71,-8.16,,8.21,,-2.24,2.29,0.05,98.73,99.25,-0.52
163,East Carolina,AAC,,,16,17,68.8,70.5,-1.7,,1.73,,-1.67,1.7,0.04,98.2,98.2,0
164,Pacific,WCC,,,15,18,75.8,77.7,-1.91,,2.56,,4.83,-4.89,-0.06,102.43,102.79,-0.36
165,Old Dominion,Sun Belt,,,19,12,66.9,66.2,0.68,,-0.44,,-3.72,3.51,-0.21,97.24,98.13,-0.88
166,Saint Joseph's,A-10,,,16,17,72.4,72.4,-0.03,,-0.19,,1.96,-2.18,-0.22,99.85,100.52,-0.67
167,Long Beach State,Big West,,,17,16,76.5,74.4,2.09,,-0.07,,7.25,-7.48,-0.23,99.58,100.29,-0.72
168,Louisiana Tech,CUSA,,,15,18,72.2,70.3,1.91,,1.55,,0.48,-0.73,-0.25,100.01,100.75,-0.74
169,Florida State,ACC,,,9,23,69.3,76.2,-6.88,,6.54,,1.9,-2.23,-0.33,101.17,101.84,-0.67
170,Tarleton State,WAC,,,17,16,72,67.8,4.24,,2.05,,-2.7,2.26,-0.44,97.24,98.4,-1.16
171,Ball State,MAC,,,20,12,76.4,71.6,4.78,,-3.07,,1.67,-2.43,-0.77,103,103.94,-0.94
172,Harvard,Ivy,,,14,14,68.4,66.4,2,,-2.14,,-4.57,3.74,-0.83,96.04,97.22,-1.18
173,Montana,Big Sky,,,17,14,69.3,68.2,1.06,,-1.53,,-2.31,1.48,-0.83,102.28,103.88,-1.61
174,Northern Kentucky,Horizon,,,22,12,68.2,63.6,4.68,,-3.45,,-6.77,5.79,-0.98,98.05,99.24,-1.18
175,UTEP,CUSA,,,14,18,68.5,68.5,0,,1.53,,-3.4,2.36,-1.04,94.04,95.57,-1.53
